Admission_Year,Gender,Age,HSC_Passing_Year,Program,Semester,Meritorious_Scholarship,Use_Transport,Daily_Study_Hours,Study_Seats,Learning_Mode,Use_Smartphone,Has_PC,Daily_Social_Media_Hours,English_Proficiency,Attendance_Pct,Fell_Probation,Got_Suspension,Attends_Consultancy,Skills,Daily_Skill_Dev_Hours,Interested_Area,Relationship_Status,CoCurriculum_Activities,Living_With,Health_Issues,Previous_SGPA,Physical_Disabilities,Current_CGPA,Completed_Credits,Monthly_Family_Income,Income_Group,Age_Group
2021,Female,22,2019.0,BCSE,4,Yes,No,2,2,Offline,Yes,Yes,2,Basic,100,Yes,No,Yes,Web development skill(Frontend),1,NETWORKING,Single,No,Bachelor,No,3.8,No,3.64,35.0,32500.0,<50K,21-22
2021,Male,22,2019.0,BCSE,4,No,No,3,2,Offline,Yes,Yes,2,Basic,90,No,No,No,Programming,1,"Software, Hardware, NETWORKING, Artificial Intelligence, Data Science",Single,No,Bachelor,Yes,3.4,No,3.53,35.0,20000.0,<50K,21-22
2021,Male,20,2020.0,BCSE,4,Yes,Yes,2,1,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Programming,3,"Software, Machine Learning / Deep Learning, Artificial Intelligence, UI/UX",Single,Yes,Family,No,3.93,No,3.89,35.0,30000.0,<50K,18-20
2021,Male,21,2020.0,BCSE,4,Yes,No,1,2,Online,Yes,Yes,3,Advance,70,No,No,Yes,Programming,1,"Software, Artificial Intelligence",In a relationship,No,Family,No,3.1,No,3.5,35.0,40000.0,<50K,21-22
2021,Female,21,2019.0,BCSE,4,Yes,No,3,2,Offline,Yes,Yes,2,Intermediate,96,No,No,Yes,Web development skill(Frontend),1,Web development,Single,Yes,Bachelor,No,3.81,No,3.65,34.0,30000.0,<50K,21-22
2021,Male,21,2020.0,BCSE,4,Yes,Yes,1,1,Online,Yes,Yes,1,Advance,85,No,No,Yes,Content creation,1,"Machine Learning / Deep Learning, UI/UX, Data Science",Single,Yes,Bachelor,Yes,3.89,No,3.81,35.0,35000.0,<50K,21-22
2021,Female,20,2020.0,BCSE,4,No,No,3,2,Offline,Yes,Yes,1,Basic,97,No,No,Yes,Programming,1,Software,Single,No,Family,No,3.79,No,3.82,39.0,50000.0,50K-100K,18-20
2021,Male,21,2020.0,BCSE,4,Yes,Yes,2,1,Online,Yes,Yes,2,Intermediate,95,No,No,Yes,"Programming, Software  Development skill, Web development skill(Frontend)",2,"Software, Artificial Intelligence, UI/UX, Data Science",Single,Yes,Bachelor,Yes,3.28,No,3.32,35.0,8000.0,<50K,21-22
2021,Female,20,2020.0,BCSE,4,No,No,2,2,Offline,Yes,Yes,3,Basic,99,No,No,No,Programming,1,Software,Single,No,Family,No,3.78,No,3.88,35.0,200000.0,>200K,18-20
2022,Male,20,2020.0,BCSE,2,Yes,No,3,1,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,1,"Software, Machine Learning / Deep Learning",Single,No,Family,No,3.9,No,3.9,12.0,60000.0,50K-100K,18-20
2020,Male,21,2019.0,BCSE,2,Yes,No,3,2,Offline,Yes,Yes,5,Intermediate,95,No,No,Yes,Programming,1,"Software, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence, UI/UX, Data Science",Single,No,Bachelor,No,3.84,No,3.8,80.0,23000.0,<50K,21-22
2018,Male,24,2016.0,BCSE,12,Yes,No,2,2,Offline,Yes,Yes,4,Intermediate,70,No,No,Yes,"Programming, Cyber security",2,"Machine Learning / Deep Learning, Artificial Intelligence, Data Science",Single,Yes,Bachelor,No,3.31,No,3.52,132.0,350000.0,>200K,23-24
2020,Male,21,2019.0,BCSE,8,No,No,4,1,Online,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development skill(Frontend),2,NETWORKING,Single,No,Bachelor,No,3.07,No,2.74,85.0,20000.0,<50K,21-22
2019,Female,21,2019.0,BCSE,8,No,Yes,3,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,"NETWORKING, Data Science",Single,No,Family,No,3.76,No,3.5,83.0,92000.0,50K-100K,21-22
2019,Male,23,2018.0,BCSE,11,Yes,No,6,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,"Programming, Software  Development skill, Web development skill(Backend), Web development skill(Frontend)",5,"Software, Artificial Intelligence, UI/UX",Single,Yes,Bachelor,No,3.84,No,3.1,73.0,30000.0,<50K,23-24
2021,Male,19,2020.0,BCSE,4,Yes,No,1,1,Offline,Yes,No,1,Intermediate,95,No,No,Yes,"Programming, Photography ",1,"Software, NETWORKING, UI/UX",Single,Yes,Family,No,3.5,No,3.58,35.0,30000.0,<50K,18-20
2021,Male,21,2019.0,BCSE,4,Yes,Yes,4,2,Offline,Yes,Yes,2,Intermediate,90,No,No,No,"Programming, Web development skill(Frontend)",2,Software,Single,Yes,Family,No,3.38,No,3.82,27.0,40000.0,<50K,21-22
2019,Female,21,2019.0,BCSE,9,No,No,2,3,Offline,Yes,Yes,3,Basic,90,Yes,No,Yes,"Web development skill(Frontend), Networking",1,Software,Single,Yes,Bachelor,No,1.89,No,2.69,86.0,20000.0,<50K,21-22
2021,Female,19,2020.0,BCSE,4,Yes,No,7,3,Offline,Yes,No,3,Advance,90,No,No,Yes,Programming,1,"Software, NETWORKING, Artificial Intelligence, UI/UX, Data Science",Single,Yes,Family,No,3.7,No,3.77,35.0,35000.0,<50K,18-20
